,top1,top2,top3
3279,0.4609411358833313,0.6971319317817688,0.8104144334793091
3280,0.4980790913105011,0.7013476490974426,0.816828727722168
3281,0.5063906908035278,0.7009120583534241,0.8247504234313965
3282,0.4205339252948761,0.6333578824996948,0.7726930379867554
3283,0.46932682394981384,0.668178379535675,0.8000150322914124
3284,0.4673202633857727,0.6739118099212646,0.8118415474891663
3285,0.44071754813194275,0.6529609560966492,0.7947307229042053
3286,0.4632147550582886,0.6677514314651489,0.7904128432273865
3287,0.506353497505188,0.7005812525749207,0.8179938197135925
3288,0.4370570182800293,0.6482439637184143,0.7885258793830872
3289,0.4852464199066162,0.685275673866272,0.821957528591156
3290,0.42472368478775024,0.6543214917182922,0.7813831567764282
3291,0.4664434790611267,0.6762479543685913,0.8062168955802917
3292,0.48224496841430664,0.6808058619499207,0.8022019267082214
3293,0.4676850736141205,0.6617072820663452,0.7759616374969482
3294,0.4333958327770233,0.658723771572113,0.7726285457611084
3295,0.49568915367126465,0.7063125371932983,0.8301490545272827
3296,0.46780210733413696,0.6721823811531067,0.7889156937599182
3297,0.4263887107372284,0.6423546075820923,0.7806960344314575
3298,0.4607268273830414,0.6585216522216797,0.7944777011871338
3299,0.46292993426322937,0.6814867258071899,0.7876350283622742
3300,0.4704805314540863,0.687910795211792,0.8012346029281616
3301,0.48144257068634033,0.6889888644218445,0.8106040358543396
3302,0.4734286665916443,0.6665855646133423,0.7985752820968628
3303,0.4327950179576874,0.6473754048347473,0.7807138562202454
3304,0.46190229058265686,0.6798352003097534,0.8022297620773315
3305,0.4615098536014557,0.6614396572113037,0.7827975153923035
3306,0.4607553482055664,0.6906464099884033,0.8169275522232056
3307,0.459254652261734,0.6759147047996521,0.7974849343299866
3308,0.47020119428634644,0.6802478432655334,0.810306191444397
3309,0.45792871713638306,0.6624277830123901,0.7911957502365112
3310,0.45468151569366455,0.6759145855903625,0.7947853207588196
3311,0.45659953355789185,0.68644118309021,0.790112316608429
3312,0.4537239968776703,0.6650015115737915,0.7963800430297852
3313,0.46530023217201233,0.6829144954681396,0.7975805401802063
3314,0.44455432891845703,0.6577473282814026,0.7850300669670105
3315,0.4528355896472931,0.6694531440734863,0.7981144785881042
3316,0.443916916847229,0.6751237511634827,0.7844381332397461
3317,0.48748868703842163,0.6880677342414856,0.809883713722229
3318,0.4434598684310913,0.647334635257721,0.7822952270507812
