,batch,epoch,first_picks_top_1,first_picks_top_2,first_picks_top_3,loss,top1,top2,top3
0,0,0,9.905549883842468,20.62889188528061,29.792726039886475,100203.671875,0.22441434860229492,0.38521599769592285,0.5153952836990356
1,1,0,9.963035583496094,23.434042930603027,29.853555560112,100226.1875,0.2282019406557083,0.3828800320625305,0.5048928260803223
2,2,0,7.655785977840424,18.114197254180908,28.344780206680298,100138.0078125,0.22037388384342194,0.3701202869415283,0.49449896812438965
3,3,0,9.65854674577713,20.125707983970642,26.8718421459198,99986.0390625,0.22107110917568207,0.3771602511405945,0.502057671546936
4,4,0,11.851244419813156,21.27925604581833,27.11716592311859,99739.875,0.21778510510921478,0.3913562595844269,0.5161852240562439
5,5,0,7.308802753686905,17.5116166472435,23.014630377292633,99435.4296875,0.21802277863025665,0.38406163454055786,0.5026082396507263
6,6,0,9.866298735141754,19.575290381908417,27.090030908584595,99042.421875,0.22212165594100952,0.37578094005584717,0.5024019479751587
7,7,0,8.359866589307785,18.993808329105377,27.75288224220276,98550.34375,0.21964287757873535,0.38115859031677246,0.5097722411155701
8,8,0,10.542967915534973,17.228643596172333,24.475690722465515,98013.5859375,0.22784799337387085,0.3861088156700134,0.5036339163780212
9,9,0,10.337884724140167,18.914268910884857,27.103525400161743,97381.6796875,0.22205621004104614,0.3743249475955963,0.5001047253608704
10,10,0,9.060655534267426,20.145775377750397,24.96897280216217,96691.828125,0.2151428908109665,0.3662590980529785,0.4995773732662201
11,11,0,10.25812029838562,21.219928562641144,29.72407639026642,95900.5859375,0.22683404386043549,0.385483980178833,0.5095027685165405
12,12,0,10.91182827949524,20.5906480550766,30.22274076938629,95010.8828125,0.21881423890590668,0.38463786244392395,0.5118637084960938
13,13,0,11.070188879966736,22.65724688768387,31.075307726860046,94089.1796875,0.22363731265068054,0.3843143880367279,0.5142198204994202
14,14,0,10.78706681728363,20.843687653541565,25.795486569404602,93097.46875,0.22119595110416412,0.3870513439178467,0.5059041976928711
15,15,0,10.105668008327484,19.729408621788025,29.084813594818115,92004.984375,0.2354411780834198,0.39916369318962097,0.5254958271980286
16,16,0,7.898126542568207,18.257145583629608,26.897144317626953,90842.1015625,0.23026123642921448,0.39436760544776917,0.5128953456878662
17,17,0,10.613725334405899,18.664076924324036,27.874663472175598,89636.3125,0.22871556878089905,0.38638561964035034,0.5145716667175293
18,18,0,12.334133684635162,21.347232162952423,28.271400928497314,88356.84375,0.24334558844566345,0.398519366979599,0.5141040682792664
19,19,0,9.92281511425972,18.545469641685486,26.242828369140625,86990.3125,0.23125270009040833,0.38624507188796997,0.5076267719268799
20,20,0,12.641237676143646,24.121877551078796,31.018421053886414,85568.4296875,0.23657362163066864,0.3946338891983032,0.5225464701652527
21,21,0,8.712130039930344,21.41636610031128,29.563790559768677,84072.03125,0.22901907563209534,0.38517358899116516,0.5163897275924683
22,22,0,8.73890221118927,21.136853098869324,27.872684597969055,82513.7578125,0.2426743358373642,0.40216195583343506,0.5214932560920715
