,basics_off,batch,epoch,loss,mean_jaccard_similarity,spells_off
0,2.7246782779693604,0,2,8.923290252685547,0.5906639099121094,9.477201461791992
1,2.575890064239502,1,2,8.54965591430664,0.5840498805046082,9.454211235046387
2,2.623553514480591,2,2,8.74705696105957,0.5820257663726807,9.493792533874512
3,2.6942849159240723,3,2,8.612422943115234,0.5704483985900879,9.514327049255371
4,2.4589743614196777,4,2,8.231145858764648,0.5828374624252319,9.539177894592285
5,2.5137791633605957,5,2,8.4313383102417,0.5632664561271667,9.570590019226074
6,2.5919947624206543,6,2,8.514503479003906,0.5785073041915894,9.408233642578125
7,2.6510989665985107,7,2,8.459707260131836,0.585097074508667,9.434349060058594
8,2.7288434505462646,8,2,8.936050415039062,0.5831919312477112,9.489892959594727
9,2.591442823410034,9,2,8.601512908935547,0.5814101099967957,9.51529598236084
10,2.919386386871338,10,2,9.0325927734375,0.5953730344772339,9.40744400024414
11,2.45550537109375,11,2,8.61481761932373,0.5714613199234009,9.388516426086426
12,2.7053301334381104,12,2,8.664769172668457,0.5771533250808716,9.547606468200684
13,2.593900680541992,13,2,8.56661605834961,0.5767305493354797,9.536565780639648
14,2.7443668842315674,14,2,9.227457046508789,0.5624042749404907,9.728087425231934
15,2.7177927494049072,15,2,8.812921524047852,0.5698554515838623,9.708813667297363
16,2.7367942333221436,16,2,9.166999816894531,0.5793842077255249,9.971771240234375
17,2.4779293537139893,17,2,8.576892852783203,0.5793449878692627,9.925141334533691
18,2.4906535148620605,18,2,8.242968559265137,0.5742630958557129,9.246766090393066
19,2.7782680988311768,19,2,9.18797492980957,0.5695186257362366,9.32931900024414
20,2.7713096141815186,20,2,8.704489707946777,0.6087441444396973,8.958218574523926
21,2.680497407913208,21,2,8.725556373596191,0.6037487983703613,9.207854270935059
22,2.6930313110351562,22,2,8.593345642089844,0.599219024181366,9.09035587310791
23,2.823575496673584,23,2,9.490316390991211,0.5848524570465088,9.438380241394043
24,2.7306995391845703,24,2,8.632943153381348,0.6107765436172485,9.253167152404785
25,2.605323553085327,25,2,8.6893949508667,0.5846253037452698,9.293096542358398
26,2.6285645961761475,26,2,8.640992164611816,0.5848091244697571,9.55823802947998
27,2.6779026985168457,27,2,8.852604866027832,0.5897115468978882,9.429320335388184
28,2.799983024597168,28,2,9.464140892028809,0.5745342373847961,9.679844856262207
29,2.7631232738494873,29,2,8.95449161529541,0.5683175325393677,9.347021102905273
30,2.803619861602783,30,2,9.012081146240234,0.5903213620185852,9.36705493927002
31,2.6596734523773193,31,2,8.908121109008789,0.5768148899078369,9.620667457580566
32,2.783874750137329,32,2,9.14026165008545,0.5769949555397034,9.623130798339844
33,2.5937256813049316,33,2,8.579224586486816,0.5740342140197754,9.428641319274902
34,2.6031558513641357,34,2,8.680981636047363,0.5905720591545105,9.387185096740723
35,2.67293119430542,35,2,8.646539688110352,0.5870615243911743,9.555893898010254
36,2.6707990169525146,36,2,8.705032348632812,0.5770989656448364,9.49670696258545
37,2.7693517208099365,37,2,9.087648391723633,0.5843037962913513,9.584607124328613
38,2.8262574672698975,38,2,9.08200454711914,0.5728825330734253,9.21145248413086
39,2.7167868614196777,39,2,9.364873886108398,0.5886009931564331,9.464653015136719
40,2.6321463584899902,40,2,8.487112998962402,0.5856388807296753,9.173897743225098
41,2.8057265281677246,41,2,9.172234535217285,0.5847622156143188,9.504878044128418
42,2.8673338890075684,42,2,9.172060012817383,0.577212929725647,9.493795394897461
43,2.8814854621887207,43,2,9.70901107788086,0.5629367828369141,9.738774299621582
44,2.593306303024292,44,2,8.558920860290527,0.5732874870300293,9.506404876708984
45,2.8119430541992188,45,2,9.055109024047852,0.5876927971839905,9.587830543518066
46,2.6976523399353027,46,2,8.835734367370605,0.574384331703186,9.802817344665527
47,2.828064441680908,47,2,8.815414428710938,0.5985065698623657,9.618535995483398
48,2.6887130737304688,48,2,8.678505897521973,0.5887048244476318,9.47376537322998
49,2.6994781494140625,49,2,8.612274169921875,0.5780364274978638,9.405303955078125
50,2.77705979347229,50,2,9.251258850097656,0.5830164551734924,9.534490585327148
51,2.506115436553955,51,2,7.888548851013184,0.5951135158538818,8.852943420410156
52,2.7575762271881104,52,2,8.758861541748047,0.5842725038528442,9.216327667236328
53,2.929581880569458,53,2,9.650849342346191,0.5753811597824097,9.349773406982422
54,2.754103899002075,54,2,8.878310203552246,0.5774704813957214,9.200425148010254
55,2.746108293533325,55,2,8.692218780517578,0.5754128694534302,9.389702796936035
56,2.650935173034668,56,2,8.730993270874023,0.5689501762390137,9.4651460647583
57,2.9427261352539062,57,2,9.410107612609863,0.5880821943283081,9.36538028717041
58,2.4617905616760254,58,2,8.290740013122559,0.5720168352127075,9.510927200317383
59,2.880769968032837,59,2,9.614381790161133,0.56397545337677,10.144960403442383
60,2.7304890155792236,60,2,8.495222091674805,0.577911376953125,9.52510929107666
61,2.679163694381714,61,2,8.847123146057129,0.5790892839431763,10.000226974487305
62,2.8502018451690674,62,2,9.207725524902344,0.5686404705047607,9.885621070861816
63,2.718651294708252,63,2,8.772537231445312,0.5729939937591553,9.551836967468262
64,2.7648003101348877,64,2,8.918606758117676,0.5767195224761963,9.57245922088623
65,2.5217771530151367,65,2,8.407803535461426,0.5918673276901245,9.607306480407715
66,2.7591159343719482,66,2,8.771108627319336,0.5864946246147156,9.336503028869629
67,2.6663355827331543,67,2,8.410257339477539,0.5814645290374756,9.129304885864258
68,2.795330762863159,68,2,9.419660568237305,0.5776599645614624,9.784157752990723
